monster,family,element,acquired,build,date,id
Rainbowmon,Rainbowmon,Light,6-star Evolution Reward (first Water Monster - Water Slime - Day 4),no,2020-05-24,346
Surprise Box,Surprise Box,Fire,Magic Shop,yes,2020-05-24,347
Low Elemental,Low Elemental,Fire,Unknown Scroll,no,2020-05-24,348
Sandman,Sandman,Water,Unknown Scroll,no,2020-05-24,349
Slime,Slime,Fire,Unknown Scroll,no,2020-05-24,350
Slime,Slime,Fire,Mt. Siz 6 (Hard),no,2020-05-24,351
Skull Soldier,Skull Soldier,Water,Magic Shop,no,2020-05-24,352
Golem,Golem,Fire,Mt. Siz 6 (Hard),no,2020-05-24,353
Rainbowmon,Rainbowmon,Light,Mt. Siz 6 (Hard),no,2020-05-24,354
Slime,Slime,Fire,Mt. Siz 6 (Hard),no,2020-05-24,355
Devilmon,Devilmon,Dark,First max level 6-star monster reward (Water Slime),no,2020-05-24,356
Monster Flower,Monster Flower,Wind,Magic Shop,no,2020-05-24,357
Maned Boar,Maned Boar,Water,Magic Shop,no,2020-05-24,358
Rainbowmon,Rainbowmon,Light,Mt. Siz 6 (Hard),no,2020-05-24,359
Battle Scorpion,Battle Scorpion,Wind,Magic Shop,no,2020-05-24,360
Monster Flower,Monster Flower,Wind,Magic Shop,no,2020-05-24,361
Skull Soldier,Skull Soldier,Wind,Magic Shop,no,2020-05-24,362
Maned Boar,Maned Boar,Fire,Magic Shop,no,2020-05-24,363
Maned Boar,Maned Boar,Wind,Magic Shop,no,2020-05-24,364
Slime,Slime,Fire,Mt. Siz 6 (Hard),no,2020-05-24,365
Surprise Box,Surprise Box,Wind,Magic Shop,no,2020-05-24,366
Maned Boar,Maned Boar,Water,Magic Shop,no,2020-05-24,367
Skull Soldier,Skull Soldier,Fire,Magic Shop,no,2020-05-24,368
Surprise Box,Surprise Box,Water,Magic Shop,no,2020-05-24,369
Monster Flower,Monster Flower,Wind,Magic Shop,no,2020-05-24,370
Devilmon,Devilmon,Dark,6-star Evolution Reward (first Water Monster - Water Slime - Day 5),no,2020-05-25,371
Warbear,Warbear,Wind,Unknown Scroll,no,2020-05-25,372
Devilmon,Devilmon,Dark,Glory Shop,no,2020-05-25,373
