date,monster,acquired,build,id
2020-05-18,Fire Hellhound,Unknown Scroll (tutorial),no,-3
2020-05-18,Water Fairy,Mystical Scroll (tutorial),no,-2
2020-05-18,Wind Vagabond,Mystical Scroll (tutorial),no,-1
2020-05-18,Fire Horned Frog,Unknown Scroll,yes,1
2020-05-18,Water Mimic,Unknown Scroll,yes,2
2020-05-18,Wind Surprise Box,Unknown Scroll,yes,3
2020-05-18,Wind Low Elemental,Unknown Scroll,yes,4
2020-05-18,Fire Garuda,Unknown Scroll,yes,5
2020-05-18,Wind Slime,Social Summon,yes,6
2020-05-18,Water Mushroom,Social Summon,yes,7
2020-05-18,Fire Slime,Social Summon,yes,8
2020-05-18,Fire Sandman,Unknown Scroll,yes,9
2020-05-18,Wind Elemental,Unknown Scroll,yes,10
2020-05-18,Wind Mushroom,Unknown Scroll,yes,11
2020-05-18,Water Monster Flower,Garen Forest 1 (Normal),yes,12
2020-05-18,Wind Mushroom,Garen Forest 1 (Normal),no,13
2020-05-18,Fire Low Elemental,Unknown Scroll,yes,14
2020-05-18,Fire Mimic,Unknown Scroll,yes,15
2020-05-18,Wind Yeti,Unknown Scroll,no,16
2020-05-18,Water Bounty Hunter,Unknown Scroll,yes,17
2020-05-18,Wind Fairy,Unknown Scroll,yes,18
2020-05-18,Fire Horned Frog,Unknown Scroll,no,19
2020-05-18,Fire Slime,Unknown Scroll,no,20
2020-05-18,Fire Hellhound,Unknown Scroll,yes,21
2020-05-18,Water Slime,Unknown Scroll,yes,22
2020-05-18,Fire Mushroom,Unknown Scroll,yes,23
2020-05-18,Wind Howl,Unknown Scroll,yes,24
2020-05-18,Wind Forest Keeper,Unknown Scroll,yes,25
2020-05-18,Fire Hellhound,Unknown Scroll,no,26
2020-05-18,Fire Mushroom,Unknown Scroll,no,27
2020-05-18,Wind Forest Keeper,Unknown Scroll,no,28
2020-05-18,Water Mushroom,Unknown Scroll,no,29
2020-05-18,Fire Mimic,Unknown Scroll,no,30
2020-05-18,Wind Elemental,Unknown Scroll,no,31
2020-05-18,Fire Slime,Magic Shop,no,32
2020-05-18,Wind Mushroom,Garen Forest 2 (Normal),no,33
2020-05-18,Wind Forest Keeper,Garen Forest 2 (Normal),no,34
2020-05-18,Water Horned Frog,Unknown Scroll,yes,35
2020-05-18,Fire Mimic,Unknown Scroll,no,36
2020-05-18,Water Elemental,Unknown Scroll,yes,37
2020-05-18,Fire Monster Flower,Unknown Scroll,yes,38
